1,6.0,464.06,515.03,135.68,268.65,1.0,-1,-1,-1
1,5.0,726.30,496.80,116.10,298.35,1.0,-1,-1,-1
1,4.0,925.43,496.46,133.65,293.29,1.0,-1,-1,-1
1,3.0,473.85,596.70,147.83,295.65,1.0,-1,-1,-1
1,2.0,933.53,590.29,163.35,304.76,1.0,-1,-1,-1
1,1.0,701.32,592.65,143.10,303.75,1.0,-1,-1,-1
2,6.0,462.38,515.03,138.38,271.35,1.0,-1,-1,-1
2,5.0,720.90,494.78,121.50,278.78,1.0,-1,-1,-1
2,4.0,921.38,494.44,137.70,291.94,1.0,-1,-1,-1
2,3.0,471.49,596.70,151.88,295.65,1.0,-1,-1,-1
2,2.0,931.50,590.62,171.45,303.75,1.0,-1,-1,-1
2,1.0,697.95,595.35,147.15,302.40,1.0,-1,-1,-1
3,6.0,458.33,517.73,145.80,275.40,1.0,-1,-1,-1
3,5.0,715.50,494.44,125.55,282.49,1.0,-1,-1,-1
3,4.0,917.33,494.78,141.75,294.30,1.0,-1,-1,-1
3,3.0,468.45,600.75,154.58,294.30,1.0,-1,-1,-1
3,2.0,930.83,593.33,176.85,303.75,1.0,-1,-1,-1
3,1.0,693.90,599.06,149.85,300.71,1.0,-1,-1,-1
4,6.0,457.31,522.45,146.48,267.30,1.0,-1,-1,-1
4,5.0,711.45,499.16,128.25,279.11,1.0,-1,-1,-1
4,4.0,913.95,498.83,143.10,293.62,1.0,-1,-1,-1
4,3.0,467.10,606.15,155.25,290.25,1.0,-1,-1,-1
4,2.0,930.83,595.69,180.90,302.74,1.0,-1,-1,-1
4,1.0,693.90,600.75,148.50,299.70,1.0,-1,-1,-1
5,6.0,457.31,522.79,146.48,264.26,1.0,-1,-1,-1
5,5.0,708.08,501.19,130.95,276.41,1.0,-1,-1,-1
5,4.0,911.25,502.88,145.80,290.93,1.0,-1,-1,-1
5,3.0,464.74,608.18,155.93,287.55,1.0,-1,-1,-1
5,2.0,930.15,597.04,184.95,302.06,1.0,-1,-1,-1
5,1.0,692.55,602.78,148.50,297.00,1.0,-1,-1,-1
6,6.0,454.61,524.81,149.18,268.99,1.0,-1,-1,-1
6,5.0,704.70,502.88,132.30,274.05,1.0,-1,-1,-1
6,4.0,906.53,506.59,148.50,285.86,1.0,-1,-1,-1
6,3.0,459.34,610.54,158.62,285.86,1.0,-1,-1,-1
6,2.0,928.12,600.75,187.65,298.35,1.0,-1,-1,-1
6,1.0,689.51,606.15,148.84,297.00,1.0,-1,-1,-1
7,6.0,450.23,527.85,152.55,277.42,1.0,-1,-1,-1
7,5.0,699.98,503.55,135.00,276.75,1.0,-1,-1,-1
7,4.0,903.15,508.95,147.15,263.25,1.0,-1,-1,-1
7,3.0,453.26,619.65,168.08,280.80,1.0,-1,-1,-1
7,2.0,923.40,606.15,191.70,291.60,1.0,-1,-1,-1
7,1.0,683.78,611.21,151.20,302.74,1.0,-1,-1,-1
8,6.0,433.69,541.35,160.65,278.10,1.0,-1,-1,-1
8,5.0,688.50,506.93,140.40,271.35,1.0,-1,-1,-1
